GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Assignment2,parser,Parser,0,726,0,57,0,198,0,63,0,28
Assignment2,parser.node,ASTFor,0,31,0,0,0,12,0,6,0,6
Assignment2,parser.node,ASTBlock,0,21,0,0,0,9,0,4,0,4
Assignment2,parser.node,ASTFunctionCall,0,19,0,0,0,8,0,4,0,4
Assignment2,parser.node,Type,0,44,0,0,0,5,0,1,0,1
Assignment2,parser.node,ASTFormalParam,0,13,0,0,0,6,0,3,0,3
Assignment2,parser.node,ASTWhile,0,19,0,0,0,8,0,4,0,4
Assignment2,parser.node,ASTAssignment,0,22,0,0,0,9,0,5,0,5
Assignment2,parser.node,ASTFormalParams,0,13,0,0,0,6,0,3,0,3
Assignment2,parser.node,ASTBooleanLiteral,0,16,0,0,0,6,0,3,0,3
Assignment2,parser.node,ASTFloatLiteral,0,16,0,0,0,6,0,3,0,3
Assignment2,parser.node,ASTIf,0,25,0,0,0,10,0,5,0,5
Assignment2,parser.node,ASTReturn,0,13,0,0,0,6,0,3,0,3
Assignment2,parser.node,ASTIntegerLiteral,0,16,0,0,0,6,0,3,0,3
Assignment2,parser.node,ASTFunctionDecl,0,25,0,0,0,10,0,5,0,5
Assignment2,parser.node,ASTUnary,0,19,0,0,0,8,0,4,0,4
Assignment2,parser.node,ASTVariableDecl,0,22,0,0,0,9,0,5,0,5
Assignment2,parser.node,ASTBinExpression,0,25,0,0,0,10,0,5,0,5
Assignment2,parser.node,ASTActualParams,0,21,0,0,0,9,0,4,0,4
Assignment2,parser.node,ASTPrint,0,13,0,0,0,6,0,3,0,3
Assignment2,parser.node,ASTIdentifier,0,29,0,0,0,13,0,6,0,6
Assignment2,parser.node,ASTProgram,0,13,0,0,0,6,0,3,0,3
Assignment2,visitor,VisitorInterpreter,0,929,0,97,0,196,0,78,0,24
Assignment2,visitor,Scope,0,44,0,0,0,13,0,7,0,7
Assignment2,visitor,VisitorXMLGenerator,0,990,0,22,0,185,0,36,0,25
Assignment2,visitor,VisitorSemanticAnalysis,0,704,0,56,0,171,0,54,0,25
Assignment2,visitor,SymbolTable,0,178,0,14,0,51,0,25,0,18
Assignment2,lexer,Keyword,0,102,0,0,0,18,0,2,0,2
Assignment2,lexer,State,0,354,0,0,0,36,0,1,0,1
Assignment2,lexer,Lexer,0,8413,0,64,0,1560,0,53,0,11
Assignment2,lexer,TypeToken,0,324,0,0,0,33,0,1,0,1
Assignment2,lexer,Category,0,244,0,0,0,25,0,1,0,1
Assignment2,lexer,Operand,0,78,0,0,0,14,0,2,0,2
Assignment2,lexer,Lexer.new HashMap() {...},0,146,0,0,0,30,0,1,0,1
Assignment2,lexer,Transition,0,50,0,8,0,13,0,7,0,3
Assignment2,lexer,Token,0,44,0,8,0,12,0,8,0,4
Assignment2,exceptions,ReturnTypeMismatchException,0,4,0,0,0,2,0,1,0,1
Assignment2,exceptions,InvalidSyntaxException,0,4,0,0,0,2,0,1,0,1
Assignment2,exceptions,IncorrectTypeException,0,4,0,0,0,2,0,1,0,1
Assignment2,exceptions,UndeclaredException,0,4,0,0,0,2,0,1,0,1
Assignment2,exceptions,AlreadyDeclaredException,0,4,0,0,0,2,0,1,0,1
